Parameter,Type,Min,Max,Default,Description,Example
"﻿""Acquire_Modifier""",float,0,1,1,"Modifier of the probability of successful infection of a mosquito by an infected individual, given the individual's infectiousness.",[link](../json/config-infectivity-malaria-acquire-modifier.json)
Age_Dependent_Biting_Risk_Type,enum,NA,NA,OFF,"The type of functional form for age-dependent biting risk. Possible values are: 
OFF
    This is the default value. 
LINEAR
    The biting risk is 20% of the adult exposure rising linearly until age 20. 
SURFACE_AREA_DEPENDENT
    The biting risk rises linearly from 7% to 23% over the first two years of life and then rises with a shallower linear slope to the adult value at age 20.",[link](../json/config-infectivity-malaria-age-dependent-biting-risk-type.json)
Base_Infectivity,float,0,1000,0.3,"The base infectiousness of individuals before accounting for transmission-blocking effects of acquired immunity and/or campaign interventions.
For vector and malaria simulations, this is the probability of infecting a mosquito during a successful blood meal (modulated by the vector parameter **Acquire_Modifier**). The sum infectiousness of an individual is not allowed to exceed 100%.",[link](../json/config-infectivity-malaria-base-infectivity.json)
Enable_Heterogeneous_Intranode_Transmission,boolean,0,1,0,"Controls whether or not individuals experience heterogeneous disease transmission within a node. When set to true (1), individual property definitions and the $\\beta$ matrix must be specified in the demographics file (see [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters). The $\\beta$ values are multiplied with the $\\beta_{0}$ value configured by **Base_Infectivity**.
This is used only in generic, environmental, and typhoid simulations, but must be set to false (0) for all other simulation types. Heterogeneous transmission for other diseases uses other mechanistic parameters included with the simulation type.",[link](../json/config-infectivity-malaria-enable-heterogeneous-intranode-transmission.json)
Enable_Infectivity_Reservoir,boolean,0,1,0,"Controls whether or not an exogeneous reservoir of infectivity will be included in the simulation and allows for the infectivity in a node to be increased additively. When set to 1 (true), the demographics parameter **InfectivityReservoirSize** is expected in **NodeAtttributes** for each node.
!!! warning
    Do not set both **Enable_Infectivity_Reservoir** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error.",[link](../json/config-infectivity-malaria-enable-infectivity-reservoir.json)
Enable_Initial_Prevalence,boolean,0,1,0,"Controls whether or not parameters in the demographics file are used to define a distribution for the number of infected people per node at the beginning of the simulation. Set the distribution under [NodeAttributes](parameter-demographics.md#nodeattributes) using **PrevalenceDistributionFlag**, **PrevalenceDistribution1**, and **PrevalenceDistribution2**.",[link](../json/config-infectivity-malaria-enable-initial-prevalence.json)
Enable_Skipping,boolean,0,1,0,"Controls whether or not the simulation uses an optimization that can increase performance by up to 50% in some cases by probabilistically exposing individuals rather than exposing every single person. Useful in low-prevalence, high-population scenarios.",[link](../json/config-infectivity-malaria-enable-skipping.json)
Enable_Superinfection,boolean,0,1,0,Controls whether or not an individual can have multiple infections simultaneously. Set to true (1) to allow for multiple simultaneous infections; set to false (0) if multiple infections are not possible. Set the **Max_Individual_Infections** parameter.,[link](../json/config-infectivity-malaria-enable-superinfection.json)
Enable_Termination_On_Zero_Total_Infectivity,boolean,0,1,0,Controls whether or not the simulation should be ended when total infectivity falls to zero. Supported only in single-node simulations. ,[link](../json/config-infectivity-malaria-enable-termination-on-zero-total-infectivity.json)
Infected_Arrhenius_1,float,0,1.00E+15,1.17E+11,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of infected mosquitoes to an infectious state. The duration of sporogony is a decreasing function of temperature. The variable a1 is a temperature-independent scale factor on the progression rate to infectiousness. ",[link](../json/config-infectivity-malaria-infected-arrhenius-1.json)
Infected_Arrhenius_2,float,0,1.00E+15,8340,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of infected mosquitoes to an infectious state. The duration of sporogony is a decreasing function of temperature. The variable a2 is a temperature-dependent scale factor on the progression rate to infectiousness.  ",[link](../json/config-infectivity-malaria-infected-arrhenius-2.json)
Infected_Egg_Batch_Factor,float,0,10,0.8,The dimensionless factor used to modify mosquito egg batch size  in order to account for reduced fertility effects arising due to infection (e.g. when females undergo sporogony).,[link](../json/config-infectivity-malaria-infected-egg-batch-factor.json)
Infection_Updates_Per_Timestep,integer,0,144,1,The number of infection updates executed during each timestep; note that a timestep defaults to one day.,[link](../json/config-infectivity-malaria-infection-updates-per-timestep.json)
Infectious_Human_Feed_Mortality_Factor,float,0,1000,1.5,"The (dimensionless) factor used to modify the death rate of mosquitoes when feeding on humans, to account for the higher mortality rate infected mosquitoes experience during human feeds versus uninfected mosquitoes. ",[link](../json/config-infectivity-malaria-infectious-human-feed-mortality-factor.json)
Infectious_Period_Constant,float,0,3.40282E+38,-1,"The infectious period to use for all individuals, in days, when **Infectious_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-constant.json)
Infectious_Period_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the infectious period to each individual in the population. Each individual's value is a random draw from the distribution.
Possible values are:
NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Infectious_Period_Constant**.
UNIFORM_DISTRIBUTION
    Use a uniform distribution with a given minimum and maximum. Set **Infectious_Period_Max** and **Infectious_Period_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Infectious_Period_Gaussian_Mean** and **Infectious_Period_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is exponential with a given mean. Set **Infectious_Period_Exponential**.
WEIBULL_DISTRIBUTION
    Use a Weibull distribution with a given shape and scale. Set **Infectious_Period_Kappa** and **Infectious_Period_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a log-normal distribution with a given mean and standard deviation of the natural log. Set **Infectious_Period_Log_Normal_Mu** and **Infectious_Period_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a Poisson distribution with a given mean. Set **Infectious_Period_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Infectious_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two exponential distributions with given means. Set **Infectious_Period_Mean_1**, **Infectious_Period_Mean_2**, and **Infectious_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-distribution.json)
Infectious_Period_Exponential,float,0,3.40282E+38,-1,"The mean infectious period, in days, when **Infectious_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-exponential.json)
Infectious_Period_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean infectious period, in days, when **Infectious_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-gaussian-mean.json)
Infectious_Period_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,"The standard deviation of the infectious period, in days, when **Infectious_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-gaussian-std-dev.json)
