Parameter,Type,Min,Max,Default,Description,Example
Strain_Name,string,NA,NA,"""""",A required unique identifier for the microsporidia strain. Must be unique across all species. Cannot be empty or 'NoMicrosporidia'.,[link](../json/config-vector-microsporidia-malaria-strain-name.json)
Female_To_Egg_Transmission_Probability,float,0,1,0,Probability that an infected female transmits microsporidia to her eggs during oviposition.,[link](../json/config-vector-microsporidia-malaria-female-to-egg-transmission-probability.json)
Male_To_Egg_Transmission_Probability,float,0,1,0,"Probability that a female mated with an infected male transmits microsporidia to her eggs, independent of her own infection status.",[link](../json/config-vector-microsporidia-malaria-male-to-egg-transmission-probability.json)
Female_To_Male_Transmission_Probability,float,0,1,0,Probability that an infected female transmits microsporidia to an uninfected male during mating.,[link](../json/config-vector-microsporidia-malaria-female-to-male-transmission-probability.json)
Male_To_Female_Transmission_Probability,float,0,1,0,Probability that an infected male transmits microsporidia to an uninfected female during mating.,[link](../json/config-vector-microsporidia-malaria-male-to-female-transmission-probability.json)
Larval_Growth_Modifier,float,0,3.40E+38,1,Multiplier for daily larval growth rate for larva infected with this particular strain. Values greater than 1.0 accelerate development; values less than 1.0 slow development.,[link](../json/config-vector-microsporidia-malaria-larval-growth-modifier.json)
Female_Mortality_Modifier,float,0,3.40E+38,1,Multiplier for female adult mortality rate for vectors infected with this particular strain. Values greater than 1.0 increase mortality (shorter lifespan); values less than 1.0 decrease mortality.,[link](../json/config-vector-microsporidia-malaria-female-mortality-modifier.json)
Male_Mortality_Modifier,float,0,3.40E+38,1,Multiplier for male adult mortality rate for vectors infected with this particular strain. Values greater than 1.0 increase mortality (shorter lifespan); values less than 1.0 decrease mortality.,[link](../json/config-vector-microsporidia-malaria-male-mortality-modifier.json)
Duration_To_Disease_Acquisition_Modification,JSON object,NA,NA,NA,Time-dependent modifier for disease acquisition probability for vectors infected with this particular strain. It is a dictionary of arrays where **Times** represent days since microsporidia infection (ascending order) and **Values** represent probability multipliers (0-1). The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value.,[link](../json/config-vector-microsporidia-malaria-duration-to-disease-acquisition-modification.json)
Duration_To_Disease_Transmission_Modification,JSON object,NA,NA,NA,Time-dependent modifier for disease transmission probability for vectors infected with this particular strain. It is a dictionary of arrays where **Times** represent days since microsporidia infection (ascending order) and **Values** represent probability multipliers (0-1). The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value.,[link](../json/config-vector-microsporidia-malaria-duration-to-disease-transmission-modification.json)
