MigrateFamily,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-migratefamily.html
MigrateIndividuals,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-migrateindividuals.html
MosquitoRelease,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-mosquitorelease.html
MultiEffectBoosterVaccine,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-multieffectboostervaccine.html
MultiEffectVaccine,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-multieffectvaccine.html
MultiInterventionDistributor,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-multiinterventiondistributor.html
MultiNodeInterventionDistributor,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-multinodeinterventiondistributor.html
NChooserEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-nchoosereventcoordinator.html
NodeLevelHealthTriggeredIV,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-nodelevelhealthtriggerediv.html
NodeLevelHealthTriggeredIVScaleUpSwitch,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-nodelevelhealthtriggeredivscaleupswitch.html
NodePropertyValueChanger,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-nodepropertyvaluechanger.html
NodeSetAll,"Generic, Malaria, Vector, STI, HIV",Campaign Event,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-campaignevent.html
NodeSetNodeList,"Generic, Malaria, Vector, STI, HIV",Campaign Event,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-campaignevent.html
NodeSetPolygon,"Generic, Malaria, Vector, STI, HIV",Campaign Event,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-campaignevent.html
Outbreak,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-outbreak.html
OutbreakIndividual,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-outbreakindividual.html
OutbreakIndividualMalaria,Malaria,Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-outbreakindividualmalaria.html
OutdoorNodeEmanator,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-outdoornodeemanator.html
OutdoorRestKill,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-outdoorrestkill.html
OvipositionTrap,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-ovipositiontrap.html
PropertyValueChanger,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-propertyvaluechanger.html
RTSSVaccine,Malaria,Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-rtssvaccine.html
ScaleLarvalHabitat,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-scalelarvalhabitat.html
ScreeningHousingModification,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-screeninghousingmodification.html
SimpleBednet,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-simplebednet.html
SimpleBoosterVaccine,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-simpleboostervaccine.html
SimpleDiagnostic,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-simplediagnostic.html
SimpleHealthSeekingBehavior,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-simplehealthseekingbehavior.html
SimpleHousingModification,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-simplehousingmodification.html
SimpleIndividualRepellent,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-simpleindividual-repellent.html
SimpleVaccine,"Dengue, Generic, HIV, Malaria, STI, TBHIV, Typhoid, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-simplevaccine.html
SpaceSpraying,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-spacespraying.html
SpatialRepellent,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-spatialrepellent.html
