Parameter,Type,Min,Max,Default,Description,Example
Expected_Discard_Time,float,0,100000,100,"The mean time, in days, of an exponential distribution of the duration of the effect of an intervention (such as a vaccine or bed net). Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).",[link](../json/campaign-waningeffectrandombox-expected-discard-time.json)
Initial_Effect,float,0,1,1,"Strength of the effect, which remains constant until the duration is complete when using with the **WaningEffectRandomBox** class.",[link](../json/campaign-waningeffectrandombox-initial-effect.json)
