Parameter,Type,Min,Max,Default,Description,Example
Box_Duration,float,0,100000,100,The box duration of the effect in days.,[link](../json/campaign-waningeffectboxexponential-box-duration.json)
Decay_Time_Constant,float,0,100000,100,"The exponential decay length, in days, where the current effect is equal to **Initial_Effect** - dt/**Decay_Time_Constant** (dt equal to delta time). ",[link](../json/campaign-waningeffectboxexponential-decay-time-constant.json)
Initial_Effect,float,0,1,1,"The initial efficacy, held for a duration as specified with the **Box_Duration** parameter and then decaying at an exponential length (in days), where the current effect is equal to **Initial_Effect** - dt/**Decay_Time_Constant** (dt equal to delta time).",[link](../json/campaign-waningeffectboxexponential-initial-effect.json)
