Parameter,Type,Min,Max,Default,Description,Example
Acquire_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine acquisition. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-multieffectvaccine-acquire-config.json)
Cost_To_Consumer,float,0,999999,10,The unit cost per vaccine (unamortized).,[link](../json/campaign-multieffectvaccine-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-multieffectvaccine-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-multieffectvaccine-dont-allow-duplicates.json)
Intervention_Name,string,NA,NA,MultiEffectVaccine,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-multieffectvaccine-intervention-name.json)
Mortality_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine mortality. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-multieffectvaccine-mortality-config.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-multieffectvaccine-new-property-value.json)
Transmit_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine transmission. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-multieffectvaccine-transmit-config.json)
Vaccine_Take,float,0,1,1,"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all.",[link](../json/campaign-multieffectvaccine-vaccine-take.json)
