Parameter,Type,Min,Max,Default,Description,Example
Vector_Sugar_Feeding_Frequency,enum,NA,NA,VECTOR_SUGAR_FEEDING_NONE,The frequency of sugar feeding by a female mosquito. Used is used in conjunction with the **SugarTrap** and **OvipositionTrap** interventions. **Vector_Sampling_Type** must be set to TRACK_ALL_VECTORS or SAMPLE_IND_VECTORS. Possible values are: <br>VECTOR_SUGAR_FEEDING_NONE<br>    No sugar feeding. <br>VECTOR_SUGAR_FEEDING_ON_EMERGENCE_ONLY<br>    Sugar feeding once at emergence. <br>VECTOR_SUGAR_FEEDING_EVERY_FEED<br>    Sugar feeding occurs once per blood meal. <br>VECTOR_SUGAR_FEEDING_EVERY_DAY<br>    Sugar feeding occurs every day.,[link](../json/config-vector-control-malaria-vector-sugar-feeding-frequency.json)
Wolbachia_Infection_Modification,float,0,100,1,The change in vector susceptibility to infection due to a Wolbachia infection.,[link](../json/config-vector-control-malaria-wolbachia-infection-modification.json)
Wolbachia_Mortality_Modification,float,0,100,1,The change in vector mortality due to a Wolbachia infection.,[link](../json/config-vector-control-malaria-wolbachia-mortality-modification.json)
