Parameter,Type,Min,Max,Default,Description,Example
Cost_To_Consumer,float,0,999999,8,The unit cost per housing modification (unamortized).,[link](../json/campaign-screeninghousingmodification-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-screeninghousingmodification-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-screeninghousingmodification-dont-allow-duplicates.json)
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,"The name of the insecticide defined in the configuration parameter **Insecticides** for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure the configuration parameter **Insecticides**.",[link](../json/campaign-screeninghousingmodification-insecticide-name.json)
Intervention_Name,string,NA,NA,ScreeningHousingModification,An optional name assigned to this intervention to distinguish it from others of the same class.,[link](../json/campaign-screeninghousingmodification-intervention-name.json)
Killing_Config,json object,NA,NA,NA,The configuration of killing efficacy and waning for housing modification. Killing is conditional on NOT repelling the mosquito before feeding. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-screeninghousingmodification-killing-config.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-screeninghousingmodification-new-property-value.json)
Repelling_Config,json object,NA,NA,NA,Defines a waning effect that determines the probability that a vector is repelled due to the intervention. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-screeninghousingmodification-repelling-config.json)
