Parameter,Type,Min,Max,Default,Description,Example
Cost_To_Consumer,float,0,999999,10,The unit cost per trap (unamortized).,[link](../json/campaign-multiinsecticideindoorspacespraying-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-multiinsecticideindoorspacespraying-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,Prevents individual from receiving a new intervention with the same Intervetion_Name.,[link](../json/campaign-multiinsecticideindoorspacespraying-dont-allow-duplicates.json)
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,"The name of the insecticide defined in the configuration parameter **Insecticides**  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure the configuration parameter **Insecticides**.",[link](../json/campaign-multiinsecticideindoorspacespraying-insecticide-name.json)
Insecticides,array of json objects,None,None,[],An array of objects defining the blocking and killing efficacy of each insecticide.,[link](../json/campaign-multiinsecticideindoorspacespraying-insecticides.json)
Intervention_Name,string,NA,NA,MultiInsecticideIndoorSpaceSpraying,"The optional name used to refer to this intervention. If two interventions of this class have different Intervention_Name values, this allows them to co-exist in the node. Otherwise the new intervention replaces the existing one.",[link](../json/campaign-multiinsecticideindoorspacespraying-intervention-name.json)
Killing_Config,json object,NA,NA,NA,The configuration of killing efficacy and waning for human host-seeking trap. Only vectors attracted to the trap by the **Attract_Config** settings are targeted by the **Killing_Config**. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.,[link](../json/campaign-multiinsecticideindoorspacespraying-killing-config.json)
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information.,[link](../json/campaign-multiinsecticideindoorspacespraying-new-property-value.json)
Spray_Coverage,float,0,1,0,The proportion of the node that has been sprayed. This value is multiplied by the current efficacy of the **WaningEffect**.,[link](../json/campaign-multiinsecticideindoorspacespraying-spray-coverage.json)
