Parameter,Type,Min,Max,Default,Description,Example
Author,string,NA,NA,NA,"The person who created the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations.",[link](../json/demo-metadata-malaria-author.json)
DateCreated,string,NA,NA,NA,"The date the demographics file was created. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations.",[link](../json/demo-metadata-malaria-datecreated.json)
IdReference,string,NA,NA,NA,"The identifier for a simulation; all input files (except configuration and campaign files) used in a simulation must have the same **IdReference** value. The value must be greater than 0. If the input files are generated using |COMPS_s|, this indicates the method used for generating the **NodeID**, the identifier used for each node in the simulation.
 
",[link](../json/demo-metadata-malaria-idreference.json)
Metadata,json object,NA,NA,NA,The structure that contains the metadata for the demographics file.,[link](../json/demo-metadata-malaria-metadata.json)
NodeCount,integer,1,Depends on available memory,NA,The number of nodes to expect in the input files. This parameter is required.,[link](../json/demo-metadata-malaria-nodecount.json)
Resolution,integer,NA,NA,NA,"The spatial resolution of the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations.",[link](../json/demo-metadata-malaria-resolution.json)
Tool,string,NA,NA,NA,"The software tool used to create the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations.",[link](../json/demo-metadata-malaria-tool.json)
