Parameter,Type,Min,Max,Default,Description,Example
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-multiinterventiondistributor-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-multiinterventiondistributor-dont-allow-duplicates.json)
Intervention_List,array of json objects,NA,NA,NA,The list of individual interventions that is distributed by **MultiInterventionDistributor**.,[link](../json/campaign-multiinterventiondistributor-intervention-list.json)
Intervention_Name,string,NA,NA,MultiInterventionDistributor,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-multiinterventiondistributor-intervention-name.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",[link](../json/campaign-multiinterventiondistributor-new-property-value.json)
