"Usage_Duration_Kappa","float","1.17549E-38","3.40282E+38","1","The shape value for the usage duration, in days, when **Usage_Duration_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Usage_Duration_Kappa"": 0.9,
      ""Usage_Duration_Lambda"": 1.5
    }
"
"Usage_Duration_Lambda","float","1.17549E-38","3.40282E+38","1","The scale value for the usage duration, in days, when **Usage_Duration_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Usage_Duration_Kappa"": 0.9,
      ""Usage_Duration_Lambda"": 1.5
    }
"
"Usage_Duration_Log_Normal_Mu","float","-3.40282E+38","3.40282E+38","6","The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Usage_Duration_Log_Normal_Mu"": 5,
      ""Usage_Duration_Log_Normal_Sigma"": 0.5
    }
"
"Usage_Duration_Log_Normal_Sigma","float","-3.40282E+38","3.40282E+38","1","The width of the usage duration, in days, when **Usage_Duration_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Usage_Duration_Log_Normal_Mu"": 5,
      ""Usage_Duration_Log_Normal_Sigma"": 0.5
    }
"
"Usage_Duration_Max","float","0","3.40282E+38","1","The maximum usage duration, in days, when **Usage_Duration_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Usage_Duration_Min"": 90,
      ""Usage_Duration_Max"": 270
    }
"
"Usage_Duration_Mean_1","float","1.17549E-38","3.40282E+38","1","The mean of the first exponential distribution, in days, when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Usage_Duration_Mean_1"": 90,
      ""Usage_Duration_Mean_2"": 365,
      ""Usage_Duration_Proportion_1"": 0.3
    }
"
"Usage_Duration_Mean_2","float","1.17549E-38","3.40282E+38","1","The mean of the second exponential distribution, in days, when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Usage_Duration_Mean_1"": 90,
      ""Usage_Duration_Mean_2"": 365,
      ""Usage_Duration_Proportion_1"": 0.3
    }
"
"Usage_Duration_Min","float","0","3.40282E+38","0","The minimum usage duration, in days, when **Usage_Duration_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Usage_Duration_Min"": 90,
      ""Usage_Duration_Max"": 270
    }
"
"Usage_Duration_Peak_2_Value","float","0","3.40282E+38","1","The usage duration value to assign to the remaining individuals, in days, when **Usage_Duration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Usage_Duration_Proportion_0"": 0.25,
      ""Usage_Duration_Peak_2_Value"": 180
    }
"
"Usage_Duration_Poisson_Mean","float","0","3.40282E+38","6","The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to POISSON_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""POISSON_DISTRIBUTION"",
      ""Usage_Duration_Poisson_Mean"": 150
    }
"
"Usage_Duration_Proportion_0","float","0","1","1","The proportion of individuals to assign a value of zero days for usage duration when **Usage_Duration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Usage_Duration_Proportion_0"": 0.25,
      ""Usage_Duration_Peak_2_Value"": 180
    }
"
"Usage_Duration_Proportion_1","float","0","1","1","The proportion of individuals in the first exponential distribution when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Usage_Duration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Usage_Duration_Mean_1"": 90,
      ""Usage_Duration_Mean_2"": 365,
      ""Usage_Duration_Proportion_1"": 0.3
    }
"
"Usage_Expiration_Event","string","NA","NA","""""","When the woman stops using the contraceptive, this event will be broadcast. See :doc:`parameter-campaign-event-list` for possible built-in values, or create custom values using **Custom_Individual_Events** in the simulation configuration file.",".. code-block:: json

    {
      ""Usage_Expiration_Event"": ""ContraceptiveExpired""
    }
"
"Waning_Config","json object","NA","NA","NA","A WaningEffect object used to control the efficacy of the contraceptive over time. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.",".. code-block:: json

    {
      ""Waning_Config"": {
        ""class"": ""WaningEffectBox"",
        ""Box_Duration"": 180,
        ""Initial_Effect"": 0.95
      }
    }
"
