Parameter,Type,Min,Max,Default,Description,Example
Daily_Probability,float,0,1,1,The daily probability that the node's property value changes to the **Target_NP_Key_Value**.,[link](../json/campaign-nodepropertyvaluechanger-daily-probability.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-nodepropertyvaluechanger-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-nodepropertyvaluechanger-dont-allow-duplicates.json)
Intervention_Name,string,NA,NA,NodePropertyValueChanger,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-nodepropertyvaluechanger-intervention-name.json)
Maximum_Duration,float,-1,3.40E+38,3.40E+38,The maximum amount of time in days nodes have to update the property value. This timing works in conjunction with **Daily_Probability**.,[link](../json/campaign-nodepropertyvaluechanger-maximum-duration.json)
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information.,[link](../json/campaign-nodepropertyvaluechanger-new-property-value.json)
Revert,float,0,10000,0,The number of days before the node's property value reverts back to the initial node property value.,[link](../json/campaign-nodepropertyvaluechanger-revert.json)
Target_NP_Key_Value,string,NA,NA,"""""","The **NodeProperty** key:value pair, as defined in the demographics file, to assign to the node.",[link](../json/campaign-nodepropertyvaluechanger-target-np-key-value.json)
