Parameter,Type,Min,Max,Default,Description,Example
Actual_IndividualIntervention_Config,json object,NA,NA,NA,The configuration of an actual intervention sought. Selects a class for the intervention and configures the parameters specific for that intervention class. Only used if **Event_Or_Config** is set to 'Config'.,[link](../json/campaign-simplehealthseekingbehavior-actual-individualintervention-config.json)
Actual_IndividualIntervention_Event,enum,NA,NA,"""""",The event of an actual intervention sought. Selects a class for the intervention and configures the parameters specific for that intervention class. See :doc:`parameter-campaign-event-list` for possible values. Used only if **Event_Or_Config** is set to 'Event'.,[link](../json/campaign-simplehealthseekingbehavior-actual-individualintervention-event.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-simplehealthseekingbehavior-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-simplehealthseekingbehavior-dont-allow-duplicates.json)
Event_Or_Config,enum,NA,NA,Config,"Specifies whether the current intervention (or a positive diagnosis, depending on the intervention class) distributes a nested intervention (the Config option) or an event will be broadcast which may trigger other interventions in the campaign file (the Event option). 
Possible values are:

* Event
* Config

",[link](../json/campaign-simplehealthseekingbehavior-event-or-config.json)
Intervention_Name,string,NA,NA,SimpleHealthSeekingBehavior,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-simplehealthseekingbehavior-intervention-name.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-simplehealthseekingbehavior-new-property-value.json)
Single_Use,boolean,0,1,1,"If set to true (1), the health-seeking behavior gets used once and discarded. If set to false (0), it remains indefinitely.",[link](../json/campaign-simplehealthseekingbehavior-single-use.json)
Tendency,float,0,1,1,The probability of seeking healthcare.,[link](../json/campaign-simplehealthseekingbehavior-tendency.json)
