Parameter,Type,Min,Max,Default,Description,Example
Add_Effects,boolean,0,1,0,"The **Add_Effects** parameter allows you to combine multiple effects from the waning effect classes. If set to true (1), then the waning effect values from the different waning effect objects are added together. If set to false (0), the waning effect values are multiplied. The resulting waning effect value must be greater than 1.",[link](../json/campaign-waningeffectcombo-add-effects.json)
Effect_List,array of json objects,NA,NA,NA,A list of nested JSON parameters to indicate how the intervention efficacy wanes over time.,[link](../json/campaign-waningeffectcombo-effect-list.json)
Expires_When_All_Expire,boolean,0,1,0,"If set to true (1), then all of the effects, as specified in the **Effect_List** parameter, must expire for the efficacy of the intervention to expire. If set to false (0), then the efficacy of the intervention will expire as soon as one of the parameters expires.",[link](../json/campaign-waningeffectcombo-expires-when-all-expire.json)
