Parameter,Type,Min,Max,Default,Description,Example
Duration_At_Node_Proportion_1,float,0,1,-1,The proportion of individuals in the first exponential distribution when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-migrateindividuals-duration-at-node-proportion-1.json)
Duration_Before_Leaving_Constant,float,0,3.40282E+38,-1,"The duration before leaving the origin node to use for every individual, in days, when **Duration_Before_Leaving_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-constant.json)
Duration_Before_Leaving_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the duration of time an individual or family waits before migrating to the destination node after intervention-based migration. Each assigned value is a random draw from the distribution.
Possible values are:
NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Duration_Before_Leaving_Constant**.
UNIFORM_DISTRIBUTION
    Use a uniform distribution with a given minimum and maximum. Set **Duration_Before_Leaving_Max** and **Duration_Before_Leaving_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Duration_Before_Leaving_Gaussian_Mean** and **Duration_Before_Leaving_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is exponential with a given mean. Set **Duration_Before_Leaving_Exponential**.
WEIBULL_DISTRIBUTION
    Use a Weibull distribution with a given shape and scale. Set **Duration_Before_Leaving_Kappa** and **Duration_Before_Leaving_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a log-normal distribution with a given mean and standard deviation of the natural log. Set **Duration_Before_Leaving_Log_Normal_Mu** and **Duration_Before_Leaving_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a Poisson distribution with a given mean. Set **Duration_Before_Leaving_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_Before_Leaving_Proportion_0** and **Peak_2_Value**. This distribution does use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two exponential distributions with given means. Set **Duration_Before_Leaving_Mean_1**, **Duration_Before_Leaving_Mean_2**, and **Duration_Before_Leaving_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-distribution.json)
Duration_Before_Leaving_Exponential,float,0,3.40282E+38,-1,"The mean of the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-exponential.json)
Duration_Before_Leaving_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean of the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-gaussian-mean.json)
Duration_Before_Leaving_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,1,"The standard deviation of the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-gaussian-std-dev.json)
Duration_Before_Leaving_Kappa,float,1.17549E-38,3.40282E+38,-1,"The shape value for the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-kappa.json)
Duration_Before_Leaving_Lambda,float,1.17549E-38,3.40282E+38,-1,"The scale value for the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-lambda.json)
Duration_Before_Leaving_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The mean of the natural log of the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-log-normal-mu.json)
Duration_Before_Leaving_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The standard deviation of the natural log of the duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-log-normal-sigma.json)
