Parameter,Type,Min,Max,Default,Description,Example
Cost_To_Consumer,float,0,999999,8,The unit cost per housing modification (unamortized).,[link](../json/campaign-indoorindividualemanator-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-indoorindividualemanator-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-indoorindividualemanator-dont-allow-duplicates.json)
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,"The name of the insecticide defined in  <config.Insecticides>  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>.",[link](../json/campaign-indoorindividualemanator-insecticide-name.json)
Intervention_Name,string,NA,NA,IndoorIndividualEmanator,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-indoorindividualemanator-intervention-name.json)
Killing_Config,json object,NA,NA,NA,The configuration of killing efficacy and waning for housing modification. Killing is conditional on the vector not being repelled before feeding. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-indoorindividualemanator-killing-config.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-indoorindividualemanator-new-property-value.json)
Repelling_Config,json object,NA,NA,NA,Defines a waning effect that determines the probability that a vector is repelled due to the intervention. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-indoorindividualemanator-repelling-config.json)
