Parameter,Type,Min,Max,Default,Description,Example
Event_Coordinator_Config,json object,NA,NA,NA,"An object that specifies how the event is handled by the simulation. It specifies which Event Coordinator class will handle the event, and then configures the coordinator. This description starts with specifying class, and then the other fields depend on the class.
",[link](../json/campaign-campaignevent-event-coordinator-config.json)
Nodeset_Config,json object,NA,NA,NA,"An object that specifies in which nodes the interventions will be distributed. Set to one of the [Nodeset_Config classes](parameter-campaign-event-campaignevent.md#nodeset_config-classes).
",[link](../json/campaign-campaignevent-nodeset-config.json)
Start_Day,float,0,3.40282e+38,1,"The day of the simulation to activate the event's event coordinator. Depending on the event coordinator and intervention, this may indicate when to distribute an intervention or when to begin listening for a trigger. ",[link](../json/campaign-campaignevent-start-day.json)
