Time,NodeID,IndividualID,Gender,AgeYears,InfectionID,Infectiousness,Duration,Hepatocytes,IRBCs,Gametocytes
3860,340461476,2,F,10.5781,43849,0.0284654,150,0,0,139192
3860,340461476,2,F,10.5781,45545,0.0284654,64,0,27840,1210790
3860,340461476,2,F,10.5781,46841,0.0284654,40,0,49135672,19844972
3860,340461476,3,F,10.5781,46552,0.00504362,45,0,968087656,5840196
3860,340461476,3,F,10.5781,48748,0.00504362,1,2,0,0
3860,340461476,4,F,10.5781,45360,0.000424559,70,0,94828401,9362813
3860,340461476,4,F,10.5781,45739,0.000424559,59,0,3597469,120976
3860,340461476,4,F,10.5781,47844,0.000424559,21,0,54126224439,33138
3860,340461476,5,F,10.5781,45218,0.00516956,76,0,792561893,268984
3860,340461476,5,F,10.5781,47272,0.00516956,32,0,2885685,41081329
